,message,possible_cities
0,Привет! Я хочу заказать букет роз доставить в Питер сегодня до 15:00. Можно у вас такое оформить?,"[('Питер', 100)]"
1,"Привет, хочу заказать доставку цветов в Новосибирск, сколько это будет стоить?","[('Новосибирск', 100)]"
2,"Здравствуйте, сколько стоит доставка цветов в г. Екатеринбурге?","[('Екатеринбург', 63), ('Санкт-Петербург', 54), ('Екатериновка', 53), ('Екатеринославка', 49), ('Красное-на-Волге', 43)]"
3,"Здравствуйте, сколько стоит доставка цветов в город Екб? Нужно до завтра. Спасибо.","[('Екб', 100)]"
4,"Привет! Хочу заказать цветы на день рождения подруги в г. НСК, можете порекомендовать что-нибудь яркое и красивое? Спасибо!#","[('Нск', 100)]"
5,4. Добрый день! Я бы хотел заказать цветы для своей девушки в Нижнем. Можете сделать доставку с хорошим поздравлением?,"[('Великий Устюг', 36), ('Усть-Ишим', 35), ('Усть-Илимск', 33), ('Усть-Донецкий', 32), ('Верхние Татышлы', 31)]"
6,"Добрый день, доставка цветов в Астану возможна сегодня? Нужен букет на юбилей.","[('Камень-на-Оби', 47), ('Николаевск-на-Амуре', 45), ('Красное-на-Волге', 44), ('Старосубхангулово', 43), ('Дагестанские Огни', 43)]"
7,"Привет, нужно срочно заказать цветы на день рождения друга в Нижнем Новгороде, вы сможете помочь?","[('Нижний Новгород', 49), ('Дальнее Константиново', 41), ('Звенигород', 38), ('Красногородское', 38), ('Красное-на-Волге', 37)]"
8,"Здравствуй! Сделайте мне красивый букет роз и орхидей и доставьте в Новосибирск, пожалуйста.","[('Новосибирск', 100)]"
9,"Добрый день! Подскажите, пожалуйста, какие цветы у вас сейчас в наличии для доставки в С-Петербург?","[('Санкт-Петербург', 75), ('Екатеринбург', 39), ('Кинель-Черкасы', 37), ('Русский Камешкир', 36), ('Лосино-Петровский', 35)]"
10,"Привет, заказать розы в Москве, можно?","[('Москва', 62), ('Новомосковск', 55), ('Мошенское', 53), ('Тымовское', 53), ('Востряково', 50)]"
11,Здравствуйте. Я хочу заказать цветы в Петербурге на день рождения друга. Сколько это будет стоить и как быстро можно доставить?,"[('Санкт-Петербург', 37), ('Усть-Чарышская Пристань', 33), ('Камень-на-Оби', 32), ('Екатеринбург', 32), ('Дальнее Константиново', 31)]"
12,Здравствуйте! Доставка цветов в Санкт-Петербурге - это реально? Надежно ли ваше агентство?,"[('Санкт-Петербург', 50), ('Благовещенск (Амурская обл.)', 36), ('Петропавловск-Камчатский', 34), ('Дагестанские Огни', 32), ('Каменск-Уральский', 32)]"
13,"Здравствуйте, доставка цветов в Москва нужна срочно! Сколько будет стоить доставка сегодня?","[('Москва', 100)]"
14,"Здравствуйте, доставите цветы в Екатеринбург вечером, чтобы удивить родных?","[('Екатеринбург', 100)]"
15,"Здравствуйте, я бы хотел заказать букет роз для своей девушки, живущей в Алматы. Можно ли у вас выбрать цветы и доставить их к ней домой?","[('Алматы', 100)]"
16,"Здравствуйте, интересует заказ цветов в Новосиб. Есть ли варианты поздравительных открыток к букетам?","[('Новосиб', 100)]"
17,"Привет, хочу заказать букет роз для мамы, доставьте пожалуйста в Новосибирск, спасибо!","[('Новосибирск', 100)]"
18,"Привет, мне срочно нужно заказать доставку букета лилий в Новосибирске, вы можете помочь?#","[('Новосибирск', 47), ('Лесосибирск', 43), ('Аксеново-Зиловское', 41), ('Великодворский', 40), ('Ильинское-Хованское', 40)]"
19,"Добрый день! Хочу сделать заказ на доставку цветов в город Москва на завтра. Можно узнать, какие букеты у вас доступны?","[('Москва', 100)]"
20,Здравствуйте. Хочу заказать букет цветов для мамы в Новосиб. Какие у вас варианты букетов на выбор?,"[('Новосиб', 100)]"
21,Москва. Доставить 100 роз к 12:00. Можете сделать?,"[('Москва', 100)]"
22,"3. Здрасте! У вас дешевые букеты цветов в Нижнем Новгороде? Покажите, что есть.","[('Нижний Новгород', 37), ('Красногородское', 34), ('Аксеново-Зиловское', 32), ('Красное-на-Волге', 31), ('Дальнее Константиново', 31)]"
23,"Привет, я хочу купить цветы для своей девушки и доставить их в Нижний Новгород. Есть ли у вас акции или скидки на букеты? ","[('Нижний Новгород', 100)]"
24,Привет! У вас можно заказать доставку цветов в Нижний Новгород сегодня? Нужен букет на юбилей.,"[('Нижний Новгород', 100)]"
25,"Доставьте цветы в ЕКБ в субботу вечером. Подскажите, как подобрать букет для романтического вечера?","[('Екб', 100)]"
26,"Здрасте! Цветы нужны быстро в Питере, а то скоро мероприятие начнется! Сможете ли вы оперативно доставить?","[('Петропавловск-Камчатский', 29), ('Николаевск-на-Амуре', 29), ('Дальнее Константиново', 28), ('Родионово-Несветайская', 28), ('Благовещенск (Амурская обл.)', 27)]"
27,"2. Здравствуйте, мне нужно срочно доставить цветы в НН. Как скоро вы сможете это сделать?","[('НН', 100)]"
28,"ЕКБ - город красивый, но надоело уже скучную серую рутину. Хочу подарить себе радость и заказать цветы. Какие у вас варианты для доставки?","[('Екб', 100)]"
29,"Здравствуйте, я бы хотела заказать доставку цветов в Нижний Новгород на завтра. Какие варианты у вас есть? Спасибо.","[('Нижний Новгород', 100)]"
30,"Привет, нужно отправить цветы в Санкт-Петербург, можно узнать стоимость доставки?","[('Санкт-Петербург', 100)]"
31,"Добрый день! Хочу заказать цветы для девушки, она живет в Новосибирске. Какие у вас есть варианты букетов?","[('Новосибирск', 50), ('Новоселово', 42), ('Усолье-Сибирское', 41), ('Лесосибирск', 41), ('Новосергиевка', 39)]"
32,"Добрый день, хотелось бы приобрести тюльпаны в подарок девушке в Новосибирске, какие у вас варианты букетов?","[('Усолье-Сибирское', 35), ('Ильинско-Подомское', 34), ('Вождь Пролетариата', 32), ('Большое Солдатское', 32), ('Новосибирск', 32)]"
33,"Привет. Я очень нуждаюсь в доставке цветов в Новосибирск срочно. Пожалуйста, помогите!","[('Новосибирск', 100)]"
34,"Здравствуйте, хочу заказать доставку цветов в городе Новосиб. Какие у вас есть варианты и цены? Спасибо!","[('Новосиб', 100)]"
35,"Здарова, магаз, дай мне штуку цветов в Новосиб. Срочно!","[('Новосиб', 100)]"
36,"Здравствуйте, я хочу сделать заказ цветов на день рождения подруги в Питере. Можно ли заказать доставку утром?","[('Лосино-Петровский', 36), ('Новый Торьял', 36), ('Камень-на-Оби', 35), ('Усть-Калманка', 35), ('Павловский Посад', 33)]"
37,"Привет, вы доставляете цветы в г. Москва? Сколько стоит доставка и какой минимальный заказ?","[('Москва', 100)]"
38,"Здраствуйте! Надо доставить букет цветов в Новосибирск к 18:00 сегодня, возможно ли это?","[('Новосибирск', 100)]"
39,"Здравствуйте, хочу заказать доставку цветов в городе Екатеринбург. Сколько стоит букет?","[('Екатеринбург', 100)]"
40,"Здравствуйте, хочу заказать доставку цветов в г. Питер. Какие у вас есть варианты букетов для подруги?","[('Питер', 100)]"
41,"Здравствуйте, хочу заказать доставку цветов в г. Екатеринбург. Какие у вас есть варианты букетов?","[('Екатеринбург', 100)]"
42,"Привет, мне срочно нужно заказать цветы в Нижний Новгород для извинения. Можете помочь с выбором букета и быстрой доставкой? Спасибо.","[('Нижний Новгород', 100)]"
43,Добрый день! Я бы хотела заказать доставку цветов в городе Москва. Можно узнать о способах оплаты?,"[('Москва', 100)]"
44,"Здравствуйте, я хочу заказать букет роз с доставкой в городе Москве. Какие варианты у вас есть?","[('Тарногский Городок', 42), ('Камское Устье', 42), ('Лесной Городок', 41), ('Кичменгский Городок', 41), ('Комсомольск-на-Амуре', 40)]"
45,Привет! Я хочу заказать доставку цветов в Нур-Султан. Какие у вас варианты букетов?,"[('Нур-Султан', 100)]"
46,"Добрый день, хочу заказать розы для своей мамы в СПб. Как быстро можно осуществить доставку?","[('Спб', 100)]"
47,"Привет, хочу заказать доставку цветов в Москве. Какие у вас есть варианты и цены?","[('Викулово', 50), ('Левокумское', 45), ('Новомосковск', 44), ('Коксовый', 43), ('Корсаков', 43)]"
48,"Здравствуйте, интересует доставка цветов в СПб на 14 февраля. Можете предложить что-то романтическое и красивое? Спасибо!","[('Спб', 100)]"
49,"Здравствуйте, мне нужно доставить цветы в Нижний Новгород завтра утром. Это возможно? Сколько это будет стоить? Спасибо.","[('Нижний Новгород', 100)]"
50,Добрый день. Хочу заказать букет роз на свадебный юбилей в Нижнем Новгороде. Сколько это будет стоить? Спасибо.,"[('Нижний Новгород', 50), ('Анжеро-Судженск', 42), ('Красное-на-Волге', 42), ('Ростов-на-Дону', 39), ('Железнодорожный', 38)]"
51,"Здравствуйте, почему так долго не отвечаете? Я хочу заказать букет цветов в вашем магазине в Санкт-Петербурге на пятницу.","[('Санкт-Петербург', 50), ('Николаевск-на-Амуре', 28), ('Камень-на-Оби', 27), ('Калач-на-Дону', 27), ('Красное-на-Волге', 27)]"
52,"Добрый день, хочу сделать заказ букета в Санкт-Петербурге на 8 марта. Какие у вас есть варианты и цены? Спасибо!","[('Санкт-Петербург', 55), ('Урус-Мартан', 39), ('Усть-Калманка', 38), ('Сургут (Самарская обл.)', 37), ('Комсомольск-на-Амуре', 37)]"
53,"Хей, хочу заказать цветы в Екб на день рождения подруги. Можно сделать красивый букет?","[('Екб', 100)]"
54,"Здравствуйте! Я хочу заказать цветы в НСК, но у меня ограничен бюджет. Можете предложить варианты до 1000 рублей?","[('Нск', 100)]"
55,"ЕКБ: я готовлюсь к свадьбе и хочу заказать букет для невесты. Подскажите, какие варианты есть и сколько стоит доставка?#","[('Екб', 100)]"
56,"Здравствуйте, хочу заказать доставку цветов в г. Астана на завтра. Какие у вас есть варианты и цены? Спасибо!","[('Астана', 100)]"
57,"Добрый день, сколько будет стоить доставка цветов в Екатеринбурге на следующей неделе?#","[('Екатеринбург', 44), ('Николаевск-на-Амуре', 42), ('Красное-на-Волге', 41), ('Комсомольск-на-Амуре', 41), ('Санкт-Петербург', 38)]"
